player_name,yr,ht,role,ast_pct,oreb_pct,dreb_pct,drive_ppp,catchshoot_fg3_pct,pullup_fg3_pct,ra_fg_pct,flt_fg_pct,midrange_fg_pct,rim_fg_pct_allowed
Marcus Bagley,Fr,80,Stretch 4,0.08233705163002014,0.026452869176864624,0.11745038628578186,0.9088703393936157,0.3442390561103821,0.32247084379196167,0.647669792175293,0.42510902881622314,0.3987671434879303,0.6074216365814209
Jalen Suggs,Fr,76,Combo G,0.23736757040023804,0.0822087824344635,0.12494069337844849,0.9063725471496582,0.3749948740005493,0.3138243556022644,0.6003909111022949,0.385947585105896,0.39478445053100586,0.6458857655525208
Evan Mobley,Fr,84,C,0.16456836462020874,0.09736871719360352,0.1972450315952301,1.0104783773422241,0.3063417673110962,0.3011948764324188,0.7175999879837036,0.3995802104473114,0.413880854845047,0.5252989530563354
Moses Moody,Fr,78,Wing G,0.08890816569328308,0.02523764967918396,0.10222509503364563,0.9503231644630432,0.3734269142150879,0.3296310305595398,0.610913097858429,0.3461216688156128,0.41468870639801025,0.6511803865432739
Jalen Johnson,Fr,81,PF/C,0.14008474349975586,0.038194119930267334,0.18643108010292053,0.9096250534057617,0.4131418466567993,0.35257282853126526,0.6614338755607605,0.3991090655326843,0.3339487910270691,0.5628801584243774
Jaden Springer,Fr,76,Combo G,0.15368354320526123,0.025462061166763306,0.0962347686290741,0.99282073974609375,0.3770996034145355,0.34761661291122437,0.6062663197517395,0.3891940712928772,0.4178023934364319,0.640705943107605
Cameron Thomas,Fr,76,Wing G,0.08360728621482849,0.030887722969055176,0.09238749742507935,0.933148980140686,0.39021721482276917,0.3638012111186981,0.61003577709198,0.42425626516342163,0.400413453578949,0.6514320373535156
Day'Ron Sharpe,Fr,83,C,0.08566287159919739,0.09575921297073364,0.1799665093421936,0.890529215335846,0.3927183747291565,0.3068290650844574,0.6124453544616699,0.46085017919540405,0.3379558026790619,0.5424856543540955
Isaiah Jackson,Fr,82,C,0.07357069849967957,0.0800580382347107,0.23363643884658813,0.9341586828231812,0.35699462890625,0.2991931736469269,0.6433889269828796,0.3609964847564697,0.3760095536708832,0.5416121482849121
Keon Johnson,Fr,77,Wing G,0.16764506697654724,0.021727055311203003,0.09688347578048706,0.9083271622657776,0.33083200454711914,0.30623936653137207,0.5773859024047852,0.35869038105010986,0.38953953981399536,0.6541398763656616
