player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,year,pid,Rec,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,ht
Larry Sanders,VCU,CAA,35,64.9,112.8,26.1,54,56.35,13.1,25.2,7.7,13.8,0.11370888082299725,0.17747087006953777,0.641,0.20403836558892965,0.373007637092262,0.547,0.0042507992831027006,0.017003197132410802,0.25,9.1,1.6,45.5,Jr,3.64413,123.845,4.4,2010,3246,29.4,0.58620484,0.1455898754462675,0.21147726433435937,0.05844849014266214,0.16153037275790263,0.6884,0.3618,0.06269928942576483,0.06695008870886754,0.9365,89.8001,88.9952,0.0036924355432707457,228.258,6.40892,2.22981,4.17911,6.33735,26.8857,4.31436,2.02299,3.0286,6.0857,9.1143,0.9714,0.7429,2.5714,14.3714,C,83
Gani Lawal,Georgia Tech,ACC,35,64.6,101.9,26,52.3,54.11,13.2,21.7,3.6,18.2,0.13671436785315996,0.24145521419227442,0.566,0.1852259177365393,0.3528112718791225,0.525,0,0.0011025352246222576,0,5.7,1,68.2,Jr,2.86124,116.437,3.2,2010,3459,96.4,0.19738418,0.12899662128080414,0.18081577683805025,0.05622929645573514,0.1719954950410722,0.7134,0.3269,0.049614085108001596,0.058434366904979655,0.8491,90.5136,86.0717,0.003994385890636223,205.769,2.1760100000000002,0.323187,1.85282,3.89827,25.9143,2.69945,1.19882,3,5.5714,8.5714,0.4286,0.4571,1.4,13.1429,C,81
Jarvis Varnado,Mississippi St.,SEC,36,77.9,111.4,22.1,58.2,59.65,10.7,23.1,6.2,16.6,0.1128747795414462,0.18518518518518517,0.61,0.16225749559082892,0.2786596119929453,0.582,0,0,0,14.3,1.2,66.5,Sr,3.61724,117.943,3.1,2010,3685,88.8,0.45071492,0.10582010582010581,0.1490299823633157,0.0564373897707231,0.12962962962962962,0.7101,0.4354,0.047619047619047616,0.05114638447971781,0.931,85.0949,82.1124,0.0042348236331569665,302.413,9.4489,0.892689,8.55621,9.0267,31.5,3.45188,5.57482,2.9722,7.2778,10.25,0.8889,0.6667,4.7222,13.7778,C,81
Craig Brackins,Iowa St.,B12,32,86.5,103,25.1,45,49.8,6.6,19.4,13.1,13.8,0.10409252669039146,0.13701067615658363,0.76,0.14679715302491103,0.3291814946619217,0.446,0.02402135231316726,0.07740213523131673,0.31,3.3,1.3,33.7,Jr,3.44068,113.175,2.3,2010,3689,94.2,1.01468232,0.04715302491103203,0.06138790035587188,0.099644128113879,0.2677935943060498,0.7681,0.3721,0.03113879003558719,0.033807829181494664,0.9211,97.7414,91.463,0.0037413879003558724,232.463,4.77128,1.9217,2.84958,5.06978,35.125,3.13997,1.92981,2.0938,6.4375,8.5312,2.1562,0.7812,1.1875,16.5,PF/C,82
Patrick Patterson,Kentucky,SEC,38,81.8,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,0.07171318169554504,0.10358570689356505,0.692,0.15219130782054557,0.24302800463490262,0.626,0.01912351511881201,0.05498010596658453,0.348,4.1,1.2,34.8,Jr,5.09067,129.364,1.9,2010,3715,98.2,0.87811659,0.10836658567326805,0.13147416644183257,0.03984065649752502,0.10119526750371355,0.8242,0.3937,0.05179285344678253,0.05577691909653503,0.9286,94.0703,89.5707,0.0033397067759554306,233.26,9.11359,5.81768,3.29592,8.74506,33.0263,6.23586,2.5092,3.0526,4.3947,7.4474,0.9474,0.7105,1.3421,14.3158,PF/C,81
Quincy Pondexter,Washington,P10,36,80.4,123,25.2,54.7,60.82,10.3,15,11.2,12.8,0.16092932121905595,0.19449212083158635,0.827,0.19535270543703584,0.3554214420506423,0.55,0.015490522898090948,0.04388981487792435,0.353,1.8,2.2,48.7,Sr,5.83159,136.751,3.1,2010,3829,94,0.92646512,0.09724606041579317,0.12306359857927808,0.09810664502124267,0.2323578434713642,0.7902,0.4222,0.029259876585282903,0.0301204611907324,0.9714,95.2815,90.3543,0.0034724502771426658,237.307,9.18086,6.61291,2.56795,9.62658,32.2778,7.5522,2.07438,2.9722,4.3889,7.3611,1.75,1.2778,0.5833,19.3056,Wing F,78
Armon Johnson,Nevada,WAC,33,86.4,103.9,26.4,50.8,53.24,2.7,7.7,29.8,20.8,0.06875540360901466,0.10008697993717323,0.687,0.16797206198151682,0.3133157632815858,0.536,0.014795466599408218,0.06092250952697502,0.243,0.9,1.4,26.7,Jr,3.38115,112.702,2,2010,4048,NA,1.63967181,0.07310701143237001,0.10966051714855503,0.0948650505491468,0.20365524613303077,0.6667,0.4658,0.006092250952697501,0.007832894082039644,0.7778,109.698,105.349,0.002207875261335808,173.207,0.275797,1.81237,-1.53657,0.913104,34.8182,2.51657,-1.60346,0.7879,2.5455,3.3333,5.5152,0.8485,0.3636,15.6364,Scoring PG,75
Magnum Rolle,Louisiana Tech,WAC,34,72.7,108,24.1,51.4,54.14,13.3,18.3,5.9,15.7,0.09073158339100806,0.13756078772185093,0.66,0.1843899920526938,0.3590238998697953,0.514,0,0,0,7,1.5,38.3,Sr,2.87189,112.16,3.7,2010,4861,96.8,0.41789301,0.1180486192506664,0.1882924257469307,0.0663413728020274,0.17073147412286463,0.6269,0.3886,0.034146294824572924,0.03512190324813215,0.9722,97.3005,95.1309,0.003178600536545609,218.895,3.08677,0.0956688,2.99111,2.66439,30.1471,1.6715,0.992891,3.5294,4.8824,8.4118,0.8235,0.7647,2.0882,13.8529,C,83
Terrico White,Mississippi,SEC,35,77.7,111.4,22.4,49.8,52.63,5.3,9.9,9.1,10.7,0.07706252173049787,0.10788753042269701,0.714,0.11876694525523789,0.24388021582945796,0.487,0.05530369206541611,0.16137798668268966,0.343,0.6,1.6,26.6,So,3.73323,119.131,2.2,2010,5069,75.6,1.10633701,0.04623751303829872,0.07706252173049787,0.07252943221693917,0.16591107619624834,0.6,0.4372,0.012692650637964355,0.015412504346099573,0.8235,102.774,98.5941,0.0027281673943030855,177.929,3.25796,3.93788,-0.679919,3.9374,31.5143,4.12324,-0.185844,1.5714,3,4.5714,1.4857,0.8857,0.2,15.1429,Wing G,77
Greg Monroe,Georgetown,BE,34,85.6,106.8,27.5,53.4,56.68,8.6,25.2,22.4,20.8,0.11855668066036414,0.17955323375373988,0.66,0.1675257444113841,0.3075600846116693,0.545,0.006013744671177891,0.02319587230311472,0.259,4.9,2.2,54.3,So,4.66555,123.778,3,2010,5531,98.6,1.14286144,0.1323023827659136,0.2044673188200483,0.02835051059269577,0.08762885092287784,0.6471,0.3235,0.01804123401353367,0.018900340395130513,0.9545,93.1304,86.8378,0.004048367001998796,266.081,8.07504,3.30906,4.76598,7.86202,34.2353,4.54337,3.31865,2.1765,7.4706,9.6471,3.7647,1.2353,1.5294,16.1471,PF/C,83
