Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Nicolas Batum,12,47.7,4.0,+0.53,+0.55,-0.02
Amar'e Stoudemire,7,21.7,3.1,+0.53,+0.91,-0.38
Ray Allen,5,21.3,4.3,+0.53,+1.19,-0.66
Matt Mooney,1,0.0,0.0,+0.53,+0.01,+0.52
Naji Marshall,1,1.0,1.0,-0.16,-0.90,+0.74
Kyle Korver,11,36.2,3.3,+0.52,+0.60,-0.08
David Lee,8,30.6,3.8,+0.51,+0.75,-0.24
Larry Nance Jr.,6,15.8,2.6,+0.47,-0.63,+1.10
Antawn Jamison,5,15.4,3.1,+0.47,+1.30,-0.83
Alec Peters,1,0.4,0.4,+0.46,+0.70,-0.25
Rudy Gay,12,45.5,3.8,+0.45,+0.34,+0.11
Davis Bertans,5,12.0,2.4,+0.43,+0.70,-0.27
DeMar DeRozan,12,55.1,4.6,+0.44,+1.48,-1.04
Luke Kornet,4,3.8,0.9,+0.49,-0.35,+0.84
Spencer Dinwiddie,7,15.1,2.2,+0.43,+1.20,-0.77
Ersan Ilyasova,12,32.8,2.7,+0.42,+0.22,+0.20
Cody Zeller,8,19.6,2.5,+0.45,-0.54,+1.00
Morris Almond,1,0.1,0.1,+0.42,+0.08,+0.34
Rajon Rondo,12,38.2,3.2,+0.41,+0.11,+0.30
Jason Richardson,5,14.9,3.0,+0.42,+0.73,-0.32
Emeka Okafor,5,14.3,2.9,+0.42,-1.51,+1.93
Reggie Jackson,10,28.6,2.9,+0.42,+1.07,-0.65
Lou Williams,12,38.8,3.2,+0.37,+2.27,-1.91
Dwight Powell,7,14.5,2.1,+0.43,-0.26,+0.69
Andre Roberson,7,12.3,1.8,+0.40,-1.31,+1.72
Trae Young,3,12.8,4.3,+0.53,+3.62,-3.10
Gustavo Ayon,3,4.0,1.3,+0.38,-1.07,+1.44
JaVale McGee,12,20.9,1.7,+0.37,-0.70,+1.07
Thomas Bryant,4,5.3,1.3,+0.35,+0.07,+0.28
Brad Miller,3,5.6,1.9,+0.38,-0.24,+0.62
Carrick Felix,1,0.1,0.1,+0.37,+0.06,+0.31
Mikal Bridges,3,12.9,4.3,+0.52,-0.17,+0.69
Mario Chalmers,8,26.1,3.3,+0.36,-0.28,+0.64
Cory Jefferson,2,1.0,0.5,+0.36,-0.64,+0.99
DeMarre Carroll,11,24.3,2.2,+0.35,+0.09,+0.26
Ja Morant,2,8.2,4.1,+0.67,+1.43,-0.77
Mehmet Okur,3,4.9,1.6,+0.35,-0.22,+0.57
Josh Harrellson,3,1.6,0.5,+0.34,-0.89,+1.24
Alex Caruso,4,6.6,1.7,+0.53,-0.91,+1.44
Al-Farouq Aminu,11,31.2,2.8,+0.33,-0.91,+1.24
Trevor Ariza,12,46.5,3.9,+0.34,-0.20,+0.53
Malik Newman,1,0.0,0.0,+0.32,-0.05,+0.37
Chris Wright,3,0.6,0.2,+0.32,-0.04,+0.36
Patty Mills,12,25.0,2.1,+0.25,+1.16,-0.91
Tobias Harris,10,36.8,3.7,+0.31,+0.31,-0.00
Roy Hibbert,8,26.9,3.4,+0.30,-1.60,+1.90
Devin Harris,10,26.0,2.6,+0.30,+0.87,-0.57
Joe Johnson,9,37.1,4.1,+0.30,+1.36,-1.07
Nick Calathes,2,3.5,1.7,+0.29,-0.96,+1.25
Xavier Tillman,1,1.8,1.8,+0.16,-1.02,+1.18
JJ Redick,12,38.0,3.2,+0.28,+1.64,-1.36
Tacko Fall,2,0.3,0.2,+0.66,-0.34,+1.00
Mike Dunleavy,8,21.7,2.7,+0.28,+0.08,+0.20
Omer Asik,8,15.9,2.0,+0.28,-1.76,+2.04
Samuel Dalembert,6,14.6,2.4,+0.28,-1.78,+2.06
Nick Collison,9,16.1,1.8,+0.27,-0.62,+0.89
Eric Mika,1,0.0,0.0,+0.26,+0.07,+0.19
Elfrid Payton,7,21.1,3.0,+0.15,+0.36,-0.21
Taj Gibson,12,36.2,3.0,+0.27,-0.77,+1.04
Carlos Delfino,4,12.1,3.0,+0.24,-0.09,+0.33
Willie Warren,1,0.2,0.2,+0.24,-0.27,+0.51
Jameer Nelson,9,26.4,2.9,+0.23,+0.90,-0.67
Jeremy Evans,7,4.5,0.6,+0.23,-0.49,+0.72
Willie Cauley-Stein,6,15.2,2.5,+0.19,-1.05,+1.24
Matt Barnes,8,24.7,3.1,+0.23,+0.06,+0.17
Jordan Bell,4,3.2,0.8,+0.20,-0.71,+0.91
Pero Antic,2,3.3,1.7,+0.22,-0.03,+0.25
Jeremy Lin,9,20.6,2.3,+0.22,+0.03,+0.19
Brandon Jennings,9,28.4,3.2,+0.21,+1.16,-0.95
Jae'Sean Tate,1,2.6,2.6,-0.37,-0.17,-0.20
Adonis Thomas,1,0.1,0.1,+0.20,+0.03,+0.17
Royce O'Neale,4,12.7,3.2,+0.37,-1.01,+1.38
Cameron Johnson,2,4.7,2.4,+0.31,+0.25,+0.06
Ryan Bowen,1,0.0,0.0,+0.17,+0.10,+0.08
Dorell Wright,6,15.9,2.7,+0.16,+0.22,-0.06
Willie Reed,3,3.1,1.0,+0.15,-0.81,+0.95
Kyle Guy,2,0.3,0.1,-0.77,+0.10,-0.87
Jared Dudley,12,28.8,2.4,+0.14,+0.07,+0.07
Mo Bamba,3,3.7,1.2,+0.03,-1.49,+1.52
Wesley Matthews,12,42.8,3.6,+0.12,+0.37,-0.25
Devon Dotson,1,0.1,0.1,+0.43,+0.28,+0.15
Isaiah Hartenstein,3,1.9,0.6,+0.47,-0.46,+0.92
Dewayne Dedmon,8,12.1,1.5,+0.14,-1.35,+1.49
Orien Greene,1,0.0,0.0,+0.12,+0.09,+0.03
JR Smith,11,29.7,2.7,+0.12,+0.80,-0.68
Jeremiah Martin,2,0.2,0.1,-0.30,+0.01,-0.31
Tony Mitchell,2,0.1,0.1,+0.11,-0.05,+0.16
Jemerrio Jones,1,0.2,0.2,+0.11,-0.49,+0.60
Devonte' Graham,3,7.3,2.4,+0.11,+1.49,-1.38
Shayne Whittington,2,0.2,0.1,+0.11,+0.15,-0.05
Charlie Brown Jr.,2,0.2,0.1,-0.91,-0.68,-0.24
Kosta Koufos,10,17.2,1.7,+0.09,-1.24,+1.34
Larry Owens,2,0.3,0.2,+0.09,-0.32,+0.41
Ronny Turiaf,6,5.8,1.0,+0.09,-1.81,+1.90
David Wear,1,0.0,0.0,+0.09,+0.17,-0.08
Sim Bhullar,1,0.0,0.0,+0.08,+0.13,-0.04
Thaddeus Young,12,42.6,3.5,+0.07,-0.15,+0.22
Kelenna Azubuike,2,0.4,0.2,+0.08,+0.07,+0.02
Darington Hobson,1,0.1,0.1,+0.08,-0.07,+0.15
Pablo Prigioni,4,7.3,1.8,+0.08,-0.21,+0.29
Thabo Sefolosha,11,24.3,2.2,+0.07,-1.34,+1.41
Rondae Hollis-Jefferson,6,10.7,1.8,+0.07,-0.85,+0.92
David Stockton,2,0.1,0.0,+0.07,+0.17,-0.10
Ryan Reid,1,0.0,0.0,+0.06,+0.08,-0.03
Jack Cooley,2,0.3,0.1,+0.06,-0.04,+0.09
Keith Benson,1,0.0,0.0,+0.06,+0.03,+0.03
Darius Johnson-Odom,2,0.0,0.0,+0.05,-0.12,+0.17
Royce White,1,0.0,0.0,+0.05,-0.00,+0.06
Antonio Daniels,1,0.1,0.1,+0.05,+0.02,+0.03
Shane Edwards,1,0.0,0.0,+0.05,-0.24,+0.29
Jaylen Brown,5,14.3,2.9,-0.02,-0.18,+0.16
Tyreke Evans,10,28.7,2.9,+0.05,+0.82,-0.77
Joe Alexander,1,0.0,0.0,+0.04,+0.07,-0.03
Tony Bradley,4,2.5,0.6,+0.29,+0.04,+0.25
Wendell Carter Jr.,3,5.8,1.9,+0.01,-1.67,+1.69
Rudy Fernandez,3,6.2,2.1,+0.04,+0.18,-0.15
Jason Hart,1,0.0,0.0,+0.04,-0.11,+0.15
Deandre Ayton,3,9.4,3.1,+0.24,+0.03,+0.21
Vincent Hunter,1,0.0,0.0,+0.03,+0.06,-0.03
Cole Aldrich,8,5.3,0.7,+0.02,-1.62,+1.65
Othyus Jeffers,3,0.7,0.2,+0.02,-0.03,+0.05
CJ Miles,11,22.3,2.0,+0.01,+0.41,-0.40
De'Aaron Fox,4,12.8,3.2,+0.01,+0.92,-0.91
Shavlik Randolph,4,0.7,0.2,+0.01,-0.22,+0.23
Jeremy Lamb,9,16.9,1.9,-0.00,+0.12,-0.13
Marques Bolden,2,0.0,0.0,+0.03,-0.35,+0.38
Josh Akognon,1,0.0,0.0,-0.00,-0.04,+0.04
Kevon Looney,6,6.7,1.1,+0.03,-0.61,+0.63
Mike Harris,3,0.5,0.2,-0.01,-0.68,+0.67
Trey Gilder,1,0.0,0.0,-0.01,-0.05,+0.04
Gani Lawal,1,0.0,0.0,-0.01,+0.01,-0.02
Patrick Ewing,1,0.0,0.0,-0.01,-0.01,-0.00
Paul Davis,1,0.0,0.0,-0.01,+0.00,-0.01
Jaren Jackson Jr.,3,5.3,1.8,+0.05,-0.95,+1.00
Mangok Mathiang,1,0.0,0.0,-0.03,-0.28,+0.26
Dwayne Jones,1,0.0,0.0,-0.03,+0.03,-0.05
Jahmi'us Ramsey,1,0.1,0.1,-0.29,-0.01,-0.28
Carldell Johnson,1,0.2,0.2,-0.03,-0.35,+0.32
Gorgui Dieng,8,18.0,2.2,-0.04,-1.21,+1.17
Bruno Caboclo,7,2.0,0.3,-0.04,-0.64,+0.60
Josh Magette,2,0.4,0.2,-0.04,-0.07,+0.03
Marcus Paige,1,0.0,0.0,-0.05,-0.06,+0.02
Tahjere McCall,1,0.0,0.0,-0.05,-0.05,+0.01
Jalen Brunson,3,7.0,2.3,+0.12,+0.77,-0.65
