Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Jordan Loyd,1,0.0,0.0,-1.05,-0.41,-0.63
Shaun Livingston,10,10.9,1.1,-1.05,-0.97,-0.08
Brandon Bass,8,10.8,1.3,-1.05,-0.97,-0.08
Craig Brackins,2,0.1,0.1,-1.05,-0.58,-0.47
Anthony Lamb,1,-0.1,-0.1,-2.73,-1.40,-1.33
Aaron Brooks,8,9.1,1.1,-1.05,+0.58,-1.63
Sasha Kaun,1,0.1,0.1,-1.05,-1.06,+0.01
Naz Mitrou-Long,3,0.1,0.0,-1.06,-0.32,-0.74
Jerian Grant,5,4.2,0.8,-1.06,-0.77,-0.28
Charles Cooke,1,0.0,0.0,-1.06,-0.36,-0.70
Daniel Hamilton,2,0.2,0.1,-1.07,-0.96,-0.10
Luc Mbah a Moute,11,11.5,1.0,-1.07,-2.11,+1.04
Josh Childress,4,1.2,0.3,-1.07,-0.21,-0.86
Trey Burke,8,7.8,1.0,-1.13,+0.69,-1.82
Courtney Lee,11,16.4,1.5,-1.07,-0.28,-0.80
Kenrich Williams,3,3.2,1.1,-0.87,-1.33,+0.47
Keljin Blevins,1,0.0,0.0,-1.32,-1.11,-0.21
Khyri Thomas,3,0.4,0.1,-0.73,-0.49,-0.24
Ronnie Price,8,4.3,0.5,-1.08,-1.80,+0.72
Sam Dekker,4,2.5,0.6,-1.08,-0.52,-0.56
Lavoy Allen,6,5.6,0.9,-1.08,-1.59,+0.50
Festus Ezeli,3,1.9,0.6,-1.09,-2.62,+1.53
Leon Powe,2,0.5,0.2,-1.09,-0.75,-0.34
Tyler Cavanaugh,2,0.4,0.2,-1.10,-0.19,-0.91
Quincy Acy,7,4.3,0.6,-1.11,-1.54,+0.44
Jordan McRae,4,1.4,0.3,-1.11,-0.18,-0.93
Shake Milton,3,1.5,0.5,-1.41,-0.09,-1.33
David Nwaba,5,3.2,0.6,-1.09,-1.02,-0.07
Jaylen Nowell,2,0.7,0.3,-1.16,-0.26,-0.90
Avery Bradley,11,13.1,1.2,-1.13,-0.95,-0.18
Nick Richards,1,0.0,0.0,-1.17,-0.70,-0.47
Ben Uzoh,2,0.6,0.3,-1.12,-1.15,+0.03
John Lucas III,6,1.9,0.3,-1.12,-0.04,-1.08
Chuma Okeke,1,0.8,0.8,-1.19,-1.32,+0.13
Aaron Jackson,1,0.0,0.0,-1.13,-0.31,-0.82
Daniel Ochefu,1,0.1,0.1,-1.13,-0.62,-0.52
Arnett Moultrie,2,0.6,0.3,-1.13,-0.66,-0.48
Axel Toupane,3,0.3,0.1,-1.13,-0.92,-0.21
Jordan Nwora,1,0.2,0.2,-1.33,-0.95,-0.38
Justin Hamilton,3,1.5,0.5,-1.14,-0.98,-0.17
Moritz Wagner,3,1.3,0.4,-1.31,-1.57,+0.26
Brian Cardinal,3,0.9,0.3,-1.15,-1.24,+0.10
Vitor Faverani,1,0.4,0.4,-1.15,-1.95,+0.80
Mickell Gladness,1,0.2,0.2,-1.15,-2.11,+0.96
Alec Burks,10,8.9,0.9,-1.19,-0.16,-1.03
Marcus Derrickson,1,0.1,0.1,-1.15,-0.21,-0.94
Markel Brown,3,1.4,0.5,-1.16,-0.48,-0.68
Kenny Thomas,1,0.2,0.2,-1.16,-1.66,+0.49
Stephen Jackson,5,6.0,1.2,-1.16,-0.81,-0.36
Dion Waiters,8,9.0,1.1,-1.17,-0.33,-0.84
Norman Powell,6,6.3,1.0,-1.12,-0.45,-0.67
Ramon Sessions,9,10.2,1.1,-1.17,+0.28,-1.45
Nathan Knight,1,0.3,0.3,-0.68,-0.32,-0.36
Lindsey Hunter,1,0.1,0.1,-1.17,-0.61,-0.56
Marshall Plumlee,2,0.2,0.1,-1.17,-0.68,-0.49
Nicolas Brussino,2,0.4,0.2,-1.18,-0.65,-0.52
Jordan Hamilton,5,1.6,0.3,-1.18,-0.55,-0.63
Bol Bol,2,0.1,0.1,-1.53,-1.11,-0.42
Donatas Motiejunas,6,3.4,0.6,-1.18,-1.11,-0.08
Gerald Henderson,8,10.4,1.3,-1.18,-0.84,-0.34
Payton Pritchard,1,1.0,1.0,-1.15,-0.17,-0.98
Tim Thomas,1,0.2,0.2,-1.19,-0.15,-1.04
Noah Vonleh,7,4.2,0.6,-1.19,-2.02,+0.83
Josh Okogie,3,3.6,1.2,-1.11,-1.31,+0.19
D.J. Augustin,12,14.5,1.2,-1.22,+0.41,-1.64
John Holland,1,0.1,0.1,-1.20,-0.37,-0.82
Jeff Green,11,17.8,1.6,-1.17,-0.51,-0.66
Brian Cook,3,0.6,0.2,-1.20,-1.30,+0.10
Shawne Williams,4,2.7,0.7,-1.20,-0.87,-0.33
Jake Layman,5,2.1,0.4,-1.21,-1.21,-0.00
Bruce Brown,3,4.0,1.3,-0.97,-1.48,+0.50
Tyler Ulis,3,2.0,0.7,-1.20,-0.39,-0.81
Vincent Poirier,2,0.1,0.1,-1.25,-0.92,-0.33
Eddy Curry,3,0.1,0.0,-1.21,-0.69,-0.52
Aaron Holiday,3,2.4,0.8,-1.27,-0.62,-0.65
Rayjon Tucker,2,0.2,0.1,-1.20,-0.50,-0.70
Theo Pinson,3,0.4,0.1,-1.21,-1.03,-0.19
Udonis Haslem,12,5.6,0.5,-1.21,-1.57,+0.35
Raul Neto,6,3.9,0.7,-1.10,-0.92,-0.18
Haywood Highsmith,1,0.0,0.0,-1.22,-0.39,-0.83
Nicolo Melli,2,1.1,0.6,-1.28,-1.59,+0.31
Jamal Crawford,11,14.2,1.3,-1.22,+1.30,-2.52
Gerald Green,8,7.3,0.9,-1.22,+0.17,-1.39
Frank Mason,4,1.1,0.3,-1.24,-0.32,-0.92
Kurt Thomas,4,2.4,0.6,-1.23,-2.86,+1.62
Diamond Stone,1,0.0,0.0,-1.23,-0.65,-0.58
Rodney McGruder,5,3.5,0.7,-1.24,-0.93,-0.30
Malcolm Lee,3,0.4,0.1,-1.24,-1.38,+0.14
Garrett Temple,11,9.4,0.9,-1.27,-1.62,+0.34
Malik Beasley,5,3.3,0.7,-1.33,-0.14,-1.19
Georges Niang,5,2.8,0.6,-0.78,-0.21,-0.57
Jamel Artis,1,0.2,0.2,-1.26,-0.97,-0.29
Jodie Meeks,10,8.4,0.8,-1.26,+0.10,-1.35
Thomas Robinson,5,2.9,0.6,-1.26,-1.39,+0.12
Mike Miller,8,5.0,0.6,-1.27,-0.28,-0.98
C.J. Williams,2,0.6,0.3,-1.27,-1.23,-0.04
Andris Biedrins,5,2.4,0.5,-1.27,-3.28,+2.01
Torrey Craig,4,2.3,0.6,-1.44,-0.86,-0.57
Georgios Papagiannis,2,0.3,0.2,-1.27,-1.54,+0.27
Ryan Broekhoff,2,0.4,0.2,-1.27,-0.58,-0.69
Drew Gordon,1,0.0,0.0,-1.27,-0.79,-0.48
Jaron Blossomgame,1,0.3,0.3,-1.28,-1.50,+0.22
Jamaal Franklin,2,0.1,0.1,-1.28,-1.15,-0.12
Josh Boone,1,0.7,0.7,-1.28,-2.31,+1.04
Karim Mane,1,0.0,0.0,-1.48,-1.39,-0.09
Ron Baker,3,1.0,0.3,-1.28,-1.29,+0.02
Khem Birch,4,2.9,0.7,-1.12,-1.38,+0.26
James Jones,8,3.2,0.4,-1.28,-0.33,-0.95
Tyler Cook,2,-0.1,0.0,-2.52,-1.71,-0.82
Brandon Goodwin,3,0.7,0.2,-1.38,-0.58,-0.80
Mychal Mulder,2,0.6,0.3,-1.37,-0.23,-1.14
Malachi Flynn,1,0.6,0.6,-1.38,-1.55,+0.17
C.J. Wilcox,3,0.3,0.1,-1.30,-0.57,-0.73
Ivan Rabb,2,0.8,0.4,-1.30,-1.09,-0.21
T.J. Ford,3,1.4,0.5,-1.30,-1.26,-0.04
Devin Vassell,1,0.6,0.6,-1.40,-1.50,+0.10
Andrea Bargnani,7,6.6,0.9,-1.30,+0.20,-1.50
Stanley Johnson,6,4.9,0.8,-1.30,-1.97,+0.67
Brandon Knight,8,8.8,1.1,-1.31,-0.17,-1.14
Marreese Speights,9,6.3,0.7,-1.31,-0.80,-0.50
Tornike Shengelia,2,0.2,0.1,-1.31,-0.84,-0.47
Alex Poythress,3,0.4,0.1,-1.31,-1.04,-0.27
Jamaal Tinsley,4,1.6,0.4,-1.31,-1.23,-0.08
Jalen Smith,1,0.1,0.1,-1.44,-0.96,-0.47
Sasha Vujacic,5,2.3,0.5,-1.32,-0.35,-0.97
Malachi Richardson,3,0.4,0.1,-1.32,-1.01,-0.31
David Andersen,2,0.8,0.4,-1.33,-1.22,-0.11
Gary Trent Jr.,3,1.7,0.6,-1.50,+0.31,-1.81
Myke Henry,1,0.2,0.2,-1.33,-0.79,-0.54
Tayshaun Prince,7,8.9,1.3,-1.33,-0.50,-0.83
Aaron Harrison,3,0.2,0.1,-1.33,-0.68,-0.66
Josh Green,1,0.3,0.3,-1.37,-1.23,-0.14
Jerome Jordan,2,0.3,0.2,-1.34,-0.93,-0.40
Glen Davis,6,5.4,0.9,-1.34,-1.77,+0.43
Quinndary Weatherspoon,2,0.1,0.1,-1.37,-0.95,-0.42
Malcolm Delaney,2,1.4,0.7,-1.34,-1.03,-0.32
Precious Achiuwa,1,0.4,0.4,-1.42,-2.30,+0.88
Svi Mykhailiuk,3,2.2,0.7,-1.19,-0.54,-0.65
Tyler Lydon,2,0.1,0.0,-1.35,-0.71,-0.64
Chris Singleton,3,1.7,0.6,-1.35,-2.58,+1.23
Zhou Qi,2,0.1,0.0,-1.35,-1.11,-0.25
Josh Hall,1,-0.1,-0.1,-2.56,-2.41,-0.14
Troy Brown Jr.,3,1.9,0.6,-1.36,-0.33,-1.03
Zach LaVine,7,9.0,1.3,-1.28,+0.57,-1.85
Cartier Martin,6,1.9,0.3,-1.36,-0.76,-0.60
Markus Howard,1,0.0,0.0,-2.31,-0.53,-1.79
Roger Mason Jr.,5,2.5,0.5,-1.36,-0.27,-1.09
Rodions Kurucs,3,1.3,0.4,-1.36,-1.85,+0.48
Sindarius Thornwell,4,1.2,0.3,-1.24,-2.22,+0.98
Shelvin Mack,8,5.3,0.7,-1.36,-0.55,-0.81
Dillon Brooks,4,4.8,1.2,-1.24,-0.90,-0.35
Donte Greene,3,2.2,0.7,-1.37,-1.54,+0.17
Luka Samanic,2,0.2,0.1,-1.53,-1.44,-0.08
Briante Weber,3,0.4,0.1,-1.37,-0.72,-0.65
Anthony Morrow,8,6.6,0.8,-1.38,+0.25,-1.63
Bismack Biyombo,10,8.3,0.8,-1.44,-2.64,+1.20
Trey Thompkins,1,0.1,0.1,-1.38,-0.68,-0.70
Jarrett Jack,9,9.2,1.0,-1.38,-0.01,-1.37
Chris Richard,1,0.1,0.1,-1.38,-2.09,+0.71
Desmond Bane,1,0.7,0.7,-1.64,-0.75,-0.88
Oshae Brissett,2,1.0,0.5,-0.11,+0.02,-0.13
Chris Kaman,7,5.1,0.7,-1.39,-1.81,+0.42
Erik Murphy,1,0.0,0.0,-1.39,-0.90,-0.49
Corey Maggette,4,2.8,0.7,-1.40,+0.42,-1.82
James Ennis III,7,4.9,0.7,-1.38,-1.10,-0.27
James Singleton,2,0.7,0.4,-1.41,-2.03,+0.62
Jason Maxiell,6,4.3,0.7,-1.41,-2.11,+0.70
Bojan Bogdanovic,7,10.2,1.5,-1.31,+0.07,-1.38
Andrew White III,1,0.1,0.1,-1.41,-1.23,-0.18
Juancho Hernangomez,5,2.7,0.5,-1.35,-0.71,-0.63
Anthony Johnson,1,0.2,0.2,-1.42,-0.84,-0.58
Tyler Zeller,8,4.3,0.5,-1.42,-1.43,+0.01
Kendall Marshall,4,1.8,0.5,-1.42,-0.21,-1.21
Jordan Bone,2,0.1,0.1,-1.59,-1.10,-0.49
Dwight Buycks,3,0.4,0.1,-1.42,-0.89,-0.53
Melvin Frazier Jr.,2,0.1,0.0,-1.42,-1.00,-0.42
Mindaugas Kuzminskas,2,0.6,0.3,-1.42,-0.06,-1.36
Tyler Ennis,4,1.4,0.3,-1.42,-1.20,-0.22
Peyton Siva,1,0.1,0.1,-1.43,-0.93,-0.49
Charlie Bell,2,1.0,0.5,-1.43,-1.57,+0.14
Chris Clemons,1,0.2,0.2,-1.43,+0.41,-1.83
Juwan Morgan,2,0.1,0.0,-1.91,-1.13,-0.78
Damian Jones,5,1.2,0.2,-1.40,-1.52,+0.12
Ryan Arcidiacono,4,2.2,0.5,-1.41,-0.98,-0.43
Steve Blake,7,5.9,0.8,-1.44,-0.75,-0.69
Dante Cunningham,10,8.6,0.9,-1.44,-1.47,+0.03
Zach Collins,3,1.5,0.5,-1.44,-1.58,+0.14
Cole Anthony,1,0.0,0.0,-2.31,-1.43,-0.88
Anthony Carter,3,0.9,0.3,-1.45,-1.65,+0.21
Elijah Hughes,1,0.0,0.0,-1.57,-0.11,-1.47
Langston Galloway,7,5.5,0.8,-1.46,-0.47,-0.99
Nick Young,10,7.5,0.8,-1.46,+0.23,-1.69
Jon Brockman,3,0.9,0.3,-1.47,-1.14,-0.33
Jeff Ayres,6,1.3,0.2,-1.47,-1.36,-0.11
Marcelo Huertas,2,0.6,0.3,-1.47,-0.78,-0.69
Kay Felder,2,0.3,0.1,-1.47,-1.37,-0.10
Kyle Wiltjer,1,0.0,0.0,-1.47,-0.71,-0.76
O.J. Mayo,7,7.6,1.1,-1.48,-0.03,-1.44
Vlatko Cancar,2,0.0,0.0,-2.39,-1.47,-0.91
Gabe Vincent,2,0.3,0.2,-1.64,-0.91,-0.73
Branden Dawson,1,0.0,0.0,-1.48,-0.45,-1.03
Malik Hairston,1,0.2,0.2,-1.48,-1.08,-0.40
Gary Neal,7,4.1,0.6,-1.49,+0.35,-1.84
Chris Copeland,4,1.1,0.3,-1.49,-0.06,-1.42
Landry Shamet,3,2.3,0.8,-1.56,-0.33,-1.23
Eduardo Najera,3,0.7,0.2,-1.49,-2.17,+0.68
Keyon Dooling,4,1.9,0.5,-1.49,-0.70,-0.79
Marko Guduric,1,0.3,0.3,-1.50,-1.46,-0.04
Jorge Gutierrez,3,0.3,0.1,-1.50,-1.01,-0.49
CJ Elleby,1,0.1,0.1,-1.45,-0.68,-0.77
Reggie Bullock,8,4.5,0.6,-1.44,-0.95,-0.49
Kevin Huerter,3,4.5,1.5,-1.17,-0.48,-0.69
Wesley Johnson,9,7.1,0.8,-1.51,-1.75,+0.23
Leandro Barbosa,8,3.9,0.5,-1.52,-0.23,-1.29
Max Strus,2,0.4,0.2,-1.16,+0.24,-1.40
Damien Wilkins,5,2.3,0.5,-1.52,-1.50,-0.02
Julian Wright,2,0.9,0.4,-1.53,-1.94,+0.42
Sam Merrill,1,0.1,0.1,-1.62,-1.09,-0.53
Cameron Reynolds,2,0.2,0.1,-1.42,-0.83,-0.59
Solomon Hill,8,4.6,0.6,-1.58,-1.27,-0.31
Mickael Pietrus,4,2.1,0.5,-1.54,-1.63,+0.09
Quincy Miller,3,0.5,0.2,-1.54,-1.36,-0.18
Evan Turner,10,9.6,1.0,-1.54,-1.37,-0.18
Jan Vesely,3,1.2,0.4,-1.54,-2.34,+0.80
Dexter Pittman,4,0.2,0.0,-1.54,-1.95,+0.41
Robbie Hummel,2,0.7,0.4,-1.55,-0.83,-0.72
Dzanan Musa,2,0.3,0.1,-1.55,-1.17,-0.38
Nenad Krstic,2,1.7,0.8,-1.55,-1.78,+0.22
Tyler Dorsey,2,0.8,0.4,-1.55,-0.49,-1.06
Grayson Allen,3,1.1,0.4,-1.60,-0.51,-1.09
Anzejs Pasecniks,1,0.2,0.2,-1.56,-1.50,-0.05
Jordan Farmar,7,2.9,0.4,-1.56,-0.12,-1.44
P.J. Washington,2,2.7,1.4,-1.21,-2.02,+0.81
Brandon Sampson,1,0.1,0.1,-1.56,-1.19,-0.38
RJ Hunter,4,0.2,0.0,-1.57,-1.37,-0.20
Ben McLemore,8,5.6,0.7,-1.56,-0.76,-0.80
Caleb Martin,2,0.7,0.4,-1.33,-1.39,+0.05
Nico Mannion,1,0.0,0.0,-2.36,-1.20,-1.17
Dante Exum,6,2.2,0.4,-1.58,-1.32,-0.26
Chris Quinn,3,0.3,0.1,-1.58,-0.73,-0.85
Denzel Valentine,4,2.2,0.6,-1.58,-1.23,-0.35
Kendrick Nunn,2,2.3,1.2,-1.33,-0.44,-0.89
Daequan Cook,4,1.3,0.3,-1.60,-1.07,-0.53
Troy Williams,3,0.5,0.2,-1.60,-1.34,-0.26
Ben Hansbrough,1,0.1,0.1,-1.60,-1.53,-0.07
Jordan Clarkson,7,7.7,1.1,-1.49,+0.67,-2.16
Darrun Hilliard,3,0.4,0.1,-1.61,-1.35,-0.26
Jamaal Magloire,3,0.4,0.1,-1.61,-2.53,+0.92
DeSagana Diop,4,0.5,0.1,-1.61,-2.40,+0.80
Donald Sloan,5,1.8,0.4,-1.61,-0.70,-0.91
Wayne Ellington,12,7.0,0.6,-1.63,-0.41,-1.22
Reggie Williams,7,1.7,0.2,-1.62,+0.38,-2.00
Deng Adel,1,0.1,0.1,-1.62,-1.88,+0.26
Harry Giles III,3,0.9,0.3,-1.55,-1.59,+0.04
Royal Ivey,5,0.7,0.1,-1.62,-1.56,-0.06
Jason Smith,10,4.0,0.4,-1.63,-1.58,-0.05
Michael Beasley,10,5.3,0.5,-1.64,-0.86,-0.78
Facundo Campazzo,1,1.7,1.7,-0.47,-0.94,+0.47
Kelan Martin,2,0.5,0.3,-1.36,-1.20,-0.16
Marco Belinelli,11,8.2,0.7,-1.64,-0.02,-1.61
Drew Gooden,7,2.6,0.4,-1.64,-1.09,-0.55
Luke Kennard,4,2.1,0.5,-1.67,-0.44,-1.23
Rui Hachimura,2,1.4,0.7,-1.64,-1.59,-0.05
Jonathan Gibson,2,0.1,0.1,-1.65,-0.70,-0.95
Meyers Leonard,9,3.1,0.3,-1.65,-1.40,-0.25
James Young,4,0.4,0.1,-1.65,-0.78,-0.87
Nassir Little,2,0.6,0.3,-1.55,-0.97,-0.58
Chris Hunter,1,0.3,0.3,-1.65,-1.27,-0.38
Shelden Williams,3,1.2,0.4,-1.65,-1.96,+0.31
Luke Babbitt,8,2.3,0.3,-1.66,-0.90,-0.76
Dominique Jones,3,0.3,0.1,-1.66,-1.34,-0.32
Joel Przybilla,4,0.7,0.2,-1.66,-3.38,+1.72
PJ Hairston,2,0.8,0.4,-1.67,-1.31,-0.35
Andrew Nicholson,5,1.7,0.3,-1.67,-1.73,+0.06
Zydrunas Ilgauskas,2,1.0,0.5,-1.67,-2.01,+0.34
Earl Barron,5,0.4,0.1,-1.67,-1.58,-0.09
Luther Head,2,0.6,0.3,-1.67,-0.86,-0.81
Lazar Hayward,3,0.2,0.1,-1.67,-1.01,-0.66
Miles Bridges,3,2.0,0.7,-1.76,-0.88,-0.88
E'Twaun Moore,10,5.1,0.5,-1.69,-1.15,-0.54
T.J. Leaf,4,0.6,0.1,-1.65,-0.76,-0.89
Julian Washburn,1,0.1,0.1,-1.68,-1.65,-0.03
Anthony Brown,3,0.3,0.1,-1.68,-1.32,-0.36
Jared Cunningham,4,0.2,0.1,-1.68,-1.28,-0.41
Deyonta Davis,3,0.5,0.2,-1.68,-1.22,-0.47
Timothe Luwawu-Cabarrot,5,1.6,0.3,-1.78,-1.11,-0.68
Sebastian Telfair,5,1.5,0.3,-1.69,-1.03,-0.66
Malcolm Miller,3,0.1,0.0,-1.69,-0.84,-0.84
Malcolm Thomas,4,0.1,0.0,-1.69,-1.26,-0.43
Jaden McDaniels,1,0.7,0.7,-1.63,-2.65,+1.02
Kwame Brown,4,1.2,0.3,-1.70,-1.81,+0.12
Jared Terrell,1,0.0,0.0,-1.70,-1.06,-0.64
Kendrick Perkins,8,3.9,0.5,-1.70,-2.88,+1.18
Cedi Osman,4,2.4,0.6,-1.76,-0.90,-0.86
Lamar Patterson,2,0.2,0.1,-1.70,-1.17,-0.53
Pooh Jeter,1,0.3,0.3,-1.70,-0.96,-0.74
Hilton Armstrong,3,0.4,0.1,-1.71,-2.93,+1.22
Dan Gadzuric,3,0.3,0.1,-1.71,-3.16,+1.45
Orlando Johnson,3,0.4,0.1,-1.71,-1.15,-0.57
Zabian Dowdell,1,0.1,0.1,-1.71,-1.70,-0.01
Caleb Swanigan,3,0.3,0.1,-1.72,-1.68,-0.04
Rakeem Christmas,2,0.1,0.0,-1.73,-1.32,-0.41
Brian Roberts,5,1.9,0.4,-1.74,-0.26,-1.48
Matt Thomas,2,0.2,0.1,-1.95,-0.60,-1.34
Mickael Gelabale,1,0.2,0.2,-1.74,-0.97,-0.77
DeAndre' Bembry,5,2.6,0.5,-1.48,-1.72,+0.24
Keith Bogans,5,1.7,0.3,-1.75,-1.70,-0.05
Allen Crabbe,7,3.4,0.5,-1.75,-0.72,-1.02
Austin Daye,6,1.5,0.3,-1.75,-1.23,-0.52
DJ Mbenga,2,0.3,0.1,-1.75,-3.22,+1.47
Tre Jones,1,0.0,0.0,-2.40,-1.08,-1.33
Devin Ebanks,3,0.3,0.1,-1.75,-1.63,-0.13
Derrick Walton Jr.,2,0.1,0.1,-1.76,-1.15,-0.60
Isaiah Whitehead,2,0.7,0.3,-1.76,-1.54,-0.22
Travis Wear,2,0.3,0.2,-1.76,-1.91,+0.15
Ricky Ledo,2,0.1,0.0,-1.76,-0.64,-1.13
Grant Williams,2,1.0,0.5,-1.58,-2.39,+0.81
RJ Barrett,2,2.6,1.3,-1.37,-0.74,-0.63
Isaiah Taylor,2,0.4,0.2,-1.77,-0.83,-0.95
Obi Toppin,1,0.4,0.4,-1.37,-1.07,-0.29
Randy Foye,8,4.8,0.6,-1.78,-0.56,-1.22
Kevin Jones,1,0.1,0.1,-1.79,-1.17,-0.62
Rasho Nesterovic,1,0.1,0.1,-1.79,-1.11,-0.68
Paul Watson,2,0.1,0.1,-1.90,-1.09,-0.81
Mike Scott,9,2.8,0.3,-1.85,-0.86,-0.99
Darko Milicic,4,1.0,0.2,-1.80,-3.41,+1.61
Justin Jackson,4,1.7,0.4,-1.77,-0.86,-0.91
Marcus Morris,2,0.5,0.3,-1.82,-1.58,-0.24
Trent Forrest,1,0.1,0.1,-1.63,-0.24,-1.38
Eddie House,2,0.7,0.3,-1.82,-0.62,-1.21
Dairis Bertans,1,0.1,0.1,-1.82,-0.80,-1.03
Luke Harangody,2,0.3,0.1,-1.82,-1.56,-0.27
Nando De Colo,2,0.4,0.2,-1.83,-1.69,-0.14
Treveon Graham,4,0.9,0.2,-1.83,-1.57,-0.26
Earl Boykins,3,0.7,0.2,-1.84,-0.40,-1.44
Eric Maynor,5,1.2,0.2,-1.84,-0.87,-0.98
Arron Afflalo,9,5.8,0.6,-1.85,-0.24,-1.61
Jimmer Fredette,6,1.0,0.2,-1.85,+0.54,-2.39
Amir Coffey,2,0.2,0.1,-1.75,-1.42,-0.34
Luguentz Dort,2,1.0,0.5,-1.66,-1.04,-0.62
Flip Murray,1,0.5,0.5,-1.86,-1.03,-0.83
Dennis Smith Jr.,4,1.3,0.3,-1.86,-1.14,-0.72
Sheldon Mac,1,0.1,0.1,-1.87,-1.47,-0.40
Omari Spellman,2,0.5,0.2,-1.87,-1.46,-0.41
De'Andre Hunter,2,0.9,0.4,-1.83,-1.15,-0.67
Rodney Purvis,1,0.1,0.1,-1.88,-1.09,-0.78
Jannero Pargo,5,0.7,0.1,-1.88,-0.82,-1.06
Cleanthony Early,2,0.2,0.1,-1.88,-1.80,-0.08
Darius Miller,6,1.5,0.3,-1.88,-0.62,-1.25
Kim English,1,0.1,0.1,-1.88,-1.29,-0.60
Ray McCallum,3,0.8,0.3,-1.88,-0.32,-1.57
JJ Hickson,7,3.2,0.5,-1.89,-1.47,-0.42
Derrick Williams,7,2.4,0.3,-1.89,-0.83,-1.06
Devin Brown,1,0.3,0.3,-1.89,-2.04,+0.16
Jalen McDaniels,2,0.4,0.2,-1.79,-1.32,-0.47
Aaron Gray,5,0.7,0.1,-1.90,-2.29,+0.39
Brandon Rush,8,2.4,0.3,-1.90,-1.24,-0.66
Gary Clark,3,0.5,0.2,-1.94,-1.34,-0.60
Tony Battie,3,0.2,0.1,-1.90,-2.84,+0.94
Joel Freeland,3,0.5,0.2,-1.91,-2.20,+0.30
Okaro White,3,0.1,0.0,-1.91,-1.58,-0.33
Jahlil Okafor,6,0.9,0.2,-2.03,-1.80,-0.23
Ognjen Kuzmic,2,0.0,0.0,-1.92,-1.03,-0.89
JaKarr Sampson,6,0.8,0.1,-1.97,-2.21,+0.24
Larry Drew II,2,0.1,0.0,-1.92,-1.12,-0.80
Rodney Carney,2,0.3,0.2,-1.92,-1.47,-0.45
Sean McDermott,1,0.0,0.0,-1.91,-1.31,-0.60
Ike Diogu,2,0.1,0.1,-1.93,-0.69,-1.24
Thanasis Antetokounmpo,3,0.1,0.0,-2.16,-2.33,+0.18
Toure' Murry,2,0.1,0.0,-1.94,-1.25,-0.68
Theo Ratliff,2,0.2,0.1,-1.94,-2.65,+0.72
Austin Rivers,9,4.2,0.5,-1.88,-0.46,-1.42
Chucky Atkins,1,0.2,0.2,-1.94,-1.14,-0.80
Jordan Crawford,6,1.6,0.3,-1.94,+0.07,-2.01
Francisco Elson,3,0.2,0.1,-1.94,-2.32,+0.38
Luke Walton,4,0.5,0.1,-1.94,-1.60,-0.35
Javonte Green,2,0.5,0.2,-1.53,-1.52,-0.02
KJ McDaniels,3,0.5,0.2,-1.96,-1.55,-0.41
Udoka Azubuike,1,0.0,0.0,-1.88,-1.06,-0.82
Mikki Moore,2,0.1,0.1,-1.97,-1.86,-0.11
Alex Abrines,3,0.6,0.2,-1.98,-0.99,-0.98
Kyle Singler,6,1.7,0.3,-1.98,-1.26,-0.72
Richard Hamilton,4,1.0,0.3,-1.98,-0.35,-1.64
Aaron Nesmith,1,0.2,0.2,-1.78,-1.61,-0.17
Alan Anderson,6,1.3,0.2,-1.99,-0.84,-1.15
John Jenkins,6,0.5,0.1,-1.99,-0.76,-1.23
Alonzo Gee,8,1.9,0.2,-1.99,-1.42,-0.58
Tyrone Wallace,3,0.3,0.1,-1.99,-1.44,-0.55
Isaiah Hicks,2,0.1,0.0,-1.99,-1.56,-0.43
Bryn Forbes,5,1.8,0.4,-1.92,-0.70,-1.22
Doug McDermott,7,2.1,0.3,-1.99,-0.41,-1.58
DJ White,5,0.4,0.1,-2.00,-1.43,-0.58
Darius Songaila,2,0.3,0.1,-2.01,-2.09,+0.08
Sean Kilpatrick,4,0.6,0.2,-2.01,-0.26,-1.75
Chris Duhon,4,1.0,0.2,-2.01,-1.08,-0.93
Jordan Hill,8,1.5,0.2,-2.01,-1.37,-0.64
Garrison Mathews,2,0.2,0.1,-2.11,-1.11,-1.01
Robert Sacre,4,0.5,0.1,-2.01,-2.30,+0.29
Marcus Georges-Hunt,2,0.1,0.0,-2.01,-1.36,-0.65
Yi Jianlian,3,0.6,0.2,-2.02,-2.09,+0.07
Furkan Aldemir,1,0.1,0.1,-2.02,-2.00,-0.02
Kenyon Martin Jr.,1,-0.1,-0.1,-2.42,-1.36,-1.07
Saddiq Bey,1,0.4,0.4,-2.00,-0.47,-1.54
Linas Kleiza,3,0.4,0.1,-2.04,-0.92,-1.12
Tyler Herro,2,0.4,0.2,-2.14,-0.33,-1.81
Brandon Paul,1,0.1,0.1,-2.04,-2.19,+0.14
Manny Harris,4,0.3,0.1,-2.05,-1.55,-0.50
Darnell Jackson,2,0.1,0.1,-2.05,-1.62,-0.43
Kyrylo Fesenko,3,0.2,0.1,-2.05,-2.61,+0.56
Darius Bazley,2,-0.1,-0.1,-2.38,-2.44,+0.06
Jarell Martin,4,0.5,0.1,-2.05,-2.15,+0.09
Jerryd Bayless,10,2.0,0.2,-2.06,-0.56,-1.50
Ryan Gomes,4,0.8,0.2,-2.06,-1.45,-0.61
Shannon Brown,6,1.0,0.2,-2.06,-1.04,-1.02
